Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Broadmoor,,Broadmoor,SN0906,Anheddiad,,Sir Benfro,Pembrokeshire
Broadoak,,Broadoak,SJ3658,Anheddiad,,Wrecsam,Wrexham
Broadstone,,Broadstone,SO5003,Anheddiad,,Sir Fynwy,Monmouthshire
Broadstreet Common,,Broadstreet Common,ST3585,Anheddiad,,Casnewydd,Newport
Broadway,,Broadway,SM8713,Anheddiad,,Sir Benfro,Pembrokeshire
Broadway,,Broadway,SN2910,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Broadway,,Broadway,SN3808,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Brombil,,Brombil,SS7887,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Bronaber,,Bronaber,SH7131,Anheddiad,,Gwynedd,Gwynedd
Bronant,,Bronant,SN6467,Anheddiad,,Ceredigion,Ceredigion
Brongest,,Brongest,SN3245,Anheddiad,,Ceredigion,Ceredigion
Bron-gwyn,,Bron-gwyn,SN2843,Anheddiad,,Ceredigion,Ceredigion
Bronington,,Bronington,SJ4839,Anheddiad,,Wrecsam,Wrexham
Bronllys,,Bronllys,SO1435,Anheddiad,,Powys,Powys
Bronnydd,,Bronnydd,SO2245,Anheddiad,,Powys,Powys
Bronwydd,,Bronwydd,SN3543,Anheddiad,,Ceredigion,Ceredigion
Bronwydd,,Bronwydd,SN4224,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bronwylfa,,Bronwylfa,SJ2848,Ardal,,Wrecsam,Wrexham
Bron-y-môr,,Bron-y-môr,SH5700,Ardal,,Gwynedd,Gwynedd
Brook,,Brook,SN2609,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Brychdwn,,Broughton,SS9271,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Brychdyn,,Broughton,SJ3463,Anheddiad,,Sir y Fflint,Flintshire
Brymbo,,Brymbo,SH8071,Anheddiad,,Conwy,Conwy
Brymbo,,Brymbo,SJ2953,Anheddiad,,Wrecsam,Wrexham
Y Bryn,,The Bryn,SO3309,Anheddiad,,Sir Fynwy,Monmouthshire
Bryn,,Bryn,SS8192,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Bryn,,Bryn,ST1695,Anheddiad,,Caerffili,Caerphilly
Bryn Common,,Bryn Common,SJ2656,Ardal,,Sir y Fflint,Flintshire
Bryn Offa,,Bryn Offa,SJ3249,Anheddiad,,Wrecsam,Wrexham
Bryn Pen-y-lan,,Bryn Pen-y-lan,SJ3342,Anheddiad,,Wrecsam,Wrexham
Brynafan,,Brynafan,SN7173,Anheddiad,,Ceredigion,Ceredigion
Brynaman,,Brynaman,SN7114,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Brynaman Isaf,,Lower Brynaman,SN7013,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Brynaman Uchaf,,Brynaman Uchaf,SN7114,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Brynawel,,Brynawel,ST1991,Anheddiad,,Caerffili,Caerphilly
Brynberian,,Brynberian,SN1035,Anheddiad,,Sir Benfro,Pembrokeshire
Brynbryddan,,Brynbryddan,SS7792,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Brynbuga,,Usk,SO3700,Anheddiad,,Sir Fynwy,Monmouthshire
Brynbwbach,,Brynbwbach,SH6237,Anheddiad,,Gwynedd,Gwynedd
Bryn-cae,,Bryn-cae,SS9982,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Bryn Celli Ddu,,Bryn Celli Ddu,SH5070,Nodwedd o waith dyn,,Ynys Môn,Isle of Anglesey
Bryncelyn,,Bryncelyn,SJ1876,Anheddiad,,Sir y Fflint,Flintshire
Bryncethin,,Bryncethin,SS9184,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Bryncir,,Bryncir,SH4844,Anheddiad,,Gwynedd,Gwynedd
Bryn-coch,,Bryn-coch,SS7499,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Bryn-coch,,Bryn-coch,SS9083,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Bryncoedifor,,Bryncoedifor,SH7920,Anheddiad,,Gwynedd,Gwynedd
Bryncroes,,Bryncroes,SH2131,Anheddiad,,Gwynedd,Gwynedd
Bryn-crug,,Bryn-crug,SH6003,Anheddiad,,Gwynedd,Gwynedd
Bryncynfelyn,,Bryncynfelyn,SJ2019,Ardal,,Powys,Powys
Bryn-du,,Bryn-du,SN5309,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bryn-du,,Bryn-du,SH3472,Anheddiad,,Ynys Môn,Isle of Anglesey
Bryneglwys,,Bryneglwys,SH6066,Anheddiad,,Gwynedd,Gwynedd
Bryneglwys,,Bryneglwys,SJ1447,Anheddiad,,Sir Ddinbych,Denbighshire
Brynffordd,,Brynford,SJ1774,Anheddiad,,Sir y Fflint,Flintshire
Bryn-glas,,Bryn-glas,ST3089,Anheddiad,,Casnewydd,Newport
Bryngwenin,,Bryngwenin,SO3316,Anheddiad,,Sir Fynwy,Monmouthshire
Bryngwran,,Bryngwran,SH3577,Anheddiad,,Ynys Môn,Isle of Anglesey
Bryngwyn,,Bryngwyn,SO3909,Anheddiad,,Sir Fynwy,Monmouthshire
Bryn-gwyn,,Bryn-gwyn,SN3045,Anheddiad,,Ceredigion,Ceredigion
Brynhenllan,,Brynhenllan,SN0039,Anheddiad,,Sir Benfro,Pembrokeshire
Brynheulog,,Brynheulog,SS8594,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Brynhoffnant,,Brynhoffnant,SN3351,Anheddiad,,Ceredigion,Ceredigion
Brynhovah,,Brynhovah,SJ3843,Anheddiad,,Wrecsam,Wrexham
Brynhyfryd,,Brynhyfryd,SS6595,Anheddiad,,Abertawe,Swansea
Brynhyfryd,,Summerhill,SJ3153,Anheddiad,,Wrecsam,Wrexham
Bryniau,,Bryniau,SJ0680,Anheddiad,,Sir Ddinbych,Denbighshire
Bryniau,,Bryniau,SO0508,Ardal,,Merthyr Tudful,Merthyr Tydfil
Brynithel,,Brynithel,SO2101,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Bryn-llwyd,,Bryn-llwyd,SH5670,Ardal,,Gwynedd,Gwynedd
Bryn-mawr,,Bryn-mawr,SJ2518,Anheddiad,,Powys,Powys
Bryn-mawr,,Bryn-mawr,SH4243,Ardal,,Gwynedd,Gwynedd
Bryn-mawr,,Bryn-mawr,SO1911,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Brynmenyn,,Brynmenyn,SS9084,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Brynmill,,Brynmill,SS6392,Anheddiad,,Abertawe,Swansea
Brynmyrddin,,Brynmyrddin,SN4421,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Brynna,,Brynna,SS9883,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Brynnaugwynion,,Brynnaugwynion,SS9782,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Bryn-newydd,,Bryn-newydd,SJ1842,Anheddiad,,Sir Ddinbych,Denbighshire
Brynrefail,,Brynrefail,SH5563,Anheddiad,,Gwynedd,Gwynedd
Brynsadler,,Brynsadler,ST0280,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Brynsaithmarchog,,Brynsaithmarchog,SJ0750,Anheddiad,,Sir Ddinbych,Denbighshire
Brynsannan,,Brynsannan,SJ1874,Anheddiad,,Sir y Fflint,Flintshire
Brynsiencyn,,Brynsiencyn,SH4867,Anheddiad,,Ynys Môn,Isle of Anglesey
Bryn-teg,,Bryn-teg,SH4982,Anheddiad,,Ynys Môn,Isle of Anglesey
Bryn-teg,,Bryn-teg,SJ3053,Anheddiad,,Wrecsam,Wrexham
Bryn-teg,,Bryn-teg,SN4843,Anheddiad,,Ceredigion,Ceredigion
Brynteifi,,Brynteifi,SN4539,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Bryntelych,,Bryntelych,SN6002,Ardal,,Abertawe,Swansea
Bryntirion,,Bryntirion,SS8880,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Bryn-y-bâl,,Bryn-y-bâl,SJ2664,Anheddiad,,Sir y Fflint,Flintshire
Brynyberthen,,Brynyberthen,SJ1771,Anheddiad,,Sir y Fflint,Flintshire
Brynygarreg,,Brynygarreg,SJ2370,Anheddiad,,Sir y Fflint,Flintshire
Bryn-y-maen,,Bryn-y-maen,SH8376,Anheddiad,,Conwy,Conwy
Brynyreos,,Brynyreos,SJ2840,Anheddiad,,Wrecsam,Wrexham
Buckholt,,Buckholt,SO5016,Anheddiad,,Sir Fynwy,Monmouthshire
Mynydd Bwcle,,Buckley Mountain,SJ2764,Ardal,,Sir y Fflint,Flintshire
Bugeildy,,Beguildy,SO1979,Anheddiad,,Powys,Powys
Bullyhole Bottom,,Bullyhole Bottom,ST4696,Anheddiad,,Sir Fynwy,Monmouthshire
Bulwark,,Bulwark,ST5392,Anheddiad,,Sir Fynwy,Monmouthshire
Burdonshill,,Burdonshill,ST1171,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Burlingjobb,,Burlingjobb,SO2558,Anheddiad,,Powys,Powys
Burntwood Pentre,,Burntwood Pentre,SJ2964,Anheddiad,,Sir y Fflint,Flintshire
Burry,,Burry,SS4590,Anheddiad,,Abertawe,Swansea
Burry Green,,Burry Green,SS4691,Anheddiad,,Abertawe,Swansea
Burton,,Burton,SJ3557,Anheddiad,,Wrecsam,Wrexham
Burton,,Burton,SM9805,Anheddiad,,Sir Benfro,Pembrokeshire
Burton Ferry,,Burton Ferry,SM9805,Anheddiad,,Sir Benfro,Pembrokeshire
Burwen,,Burwen,SH4293,Anheddiad,,Ynys Môn,Isle of Anglesey
Tre-biwt,,Butetown,ST1874,Anheddiad,,Caerdydd,Cardiff
Bwcle,,Buckley,SJ2764,Anheddiad,,Sir y Fflint,Flintshire
Bwlch,,Bwlch,SO1521,Anheddiad,,Powys,Powys
Bwlch Ddeilior ,,Bwlch Ddeilior ,SH5550,Nodwedd tir,,Gwynedd,Gwynedd
Bwlchderwin,,Bwlchderwin,SH4546,Anheddiad,,Gwynedd,Gwynedd
Bwlch-gwyn,,Bwlch-gwyn,SJ2653,Anheddiad,,Wrecsam,Wrexham
Bwlch-llan,,Bwlch-llan,SN5758,Anheddiad,,Ceredigion,Ceredigion
Bwlchnewydd,,Bwlchnewydd,SN3624,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bwlchtocyn,,Bwlchtocyn,SH3126,Anheddiad,,Gwynedd,Gwynedd
Bwlchycibau,,Bwlchycibau,SJ1717,Anheddiad,,Powys,Powys
Bwlch-y-ddâr,,Bwlch-y-ddâr,SJ1622,Anheddiad,,Powys,Powys
Bwlchyfadfa,,Bwlchyfadfa,SN4349,Ardal,,Ceredigion,Ceredigion
Bwlch-y-ffridd,,Bwlch-y-ffridd,SO0695,Anheddiad,,Powys,Powys
Bwlch-y-groes,,Bwlch-y-groes,SN2336,Anheddiad,,Sir Benfro,Pembrokeshire
Bwlch-y-groes,,Bwlch-y-groes,SN3746,Anheddiad,,Ceredigion,Ceredigion
Bwlch-y-llyn,,Bwlch-y-llyn,SH5055,Anheddiad,,Gwynedd,Gwynedd
Bwlchymynydd,,Bwlchymynydd,SS5798,Anheddiad,,Abertawe,Swansea
Bwlchysarnau,,Bwlchysarnau,SO0274,Anheddiad,,Powys,Powys
Bwrdd Arthur,,Bwrdd Arthur,SH5881,Nodwedd o waith dyn,,Ynys Môn,Isle of Anglesey
Byeastwood,,Byeastwood,SS9281,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Bylchau,,Bylchau,SH9762,Anheddiad,,Conwy,Conwy
Bynea,,Bynea,SS5499,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cadle,,Cadle,SS6297,Anheddiad,,Abertawe,Swansea
Cadney Bank,,Cadney Bank,SJ4634,Anheddiad,,Wrecsam,Wrexham
Cadole,,Cadole,SJ2062,Anheddiad,,Sir y Fflint,Flintshire
Cae’r-bryn,,Cae’r-bryn,SN5913,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Caeathro,,Caeathro,SH5061,Anheddiad,,Gwynedd,Gwynedd
Cae-clyd,,Cae-clyd,SH7144,Anheddiad,,Gwynedd,Gwynedd
Cae-draw,,Cae-draw,SO0405,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Caeharris,,Caeharris,SO0707,Ardal,,Merthyr Tudful,Merthyr Tydfil
Caehopkin,,Caehopkin,SN8212,Anheddiad,,Powys,Powys
Cae-mawr,,Cae-mawr,SS6697,Anheddiad,,Abertawe,Swansea
Cae-mawr,,Cae-mawr,SN6801,Anheddiad,,Abertawe,Swansea
Caeo,,Caeo,SN6739,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Caepantywyll,,Caepantywyll,SO0406,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Caer Beris,,Caer Beris,SO0250,Nodwedd o waith dyn,,Powys,Powys
Caer Din,,Caer Din,SO2789,Nodwedd o waith dyn,,Powys,Powys
Caer Du,,Caer Du,SO0559,Nodwedd o waith dyn,,Powys,Powys
Caer Estyn,,Caer Estyn,SJ3157,Nodwedd o waith dyn,,Sir y Fflint,Flintshire
Caer Fawr,,Caer Fawr,SO0553,Nodwedd o waith dyn,,Powys,Powys
Caeraca,,Caeraca,SO0609,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Caerau,,Caerau,SS8594,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Caerau,,Caerau,ST1375,Anheddiad,,Caerdydd,Cardiff
Caerau Park,,Caerau Park,ST2987,Anheddiad,,Casnewydd,Newport
Cae'r-bont,,Cae'r-bont,SN8011,Anheddiad,,Powys,Powys
Caerdeon,,Caerdeon,SH6518,Ardal,,Gwynedd,Gwynedd
Caerdydd,,Cardiff,ST1876,Anheddiad,,Caerdydd,Cardiff
Caereithin,,Caereithin,SS6396,Anheddiad,,Abertawe,Swansea
Caerfarchell,,Caerfarchell,SM7926,Anheddiad,,Sir Benfro,Pembrokeshire
Caerffili,,Caerphilly,ST1586,Anheddiad,,Caerffili,Caerphilly
Caerfyrddin,,Carmarthen,SN4120,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Caergeiliog,,Caergeiliog,SH3178,Anheddiad,,Ynys Môn,Isle of Anglesey
Caergwrle,,Caergwrle,SJ3057,Anheddiad,,Sir y Fflint,Flintshire
Caergybi,,Holyhead,SH2482,Anheddiad,,Ynys Môn,Isle of Anglesey
Caerhendy,,Caerhendy,SS7791,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Caerhun,,Caerhun,SH5769,Anheddiad,,Gwynedd,Gwynedd
Caerhun,,Caerhun,SH7770,Anheddiad,,Conwy,Conwy
Caerhywel,,Caerhywel,SO2098,Anheddiad,,Powys,Powys
Caeriw,,Carew,SN0403,Anheddiad,,Sir Benfro,Pembrokeshire
Cae'r-lan,,Cae'r-lan,SN8012,Anheddiad,,Powys,Powys
Caerllion,,Caerleon,ST3390,Anheddiad,,Casnewydd,Newport
Caermead,,Caermead,SS9569,Nodwedd o waith dyn,,Bro Morgannwg,Vale of Glamorgan
Caernarfon,,Caernarfon,SH4862,Anheddiad,,Gwynedd,Gwynedd
Caersŵs,,Caersŵs,SO0391,Anheddiad,,Powys,Powys
Caerwedros,,Caerwedros,SN3755,Anheddiad,,Ceredigion,Ceredigion
Caer-went,,Caer-went,ST4690,Anheddiad,,Sir Fynwy,Monmouthshire
Caerwys,,Caerwys,SJ1272,Anheddiad,,Sir y Fflint,Flintshire
Caggle Street,,Caggle Street,SO3617,Anheddiad,,Sir Fynwy,Monmouthshire
Caim,,Caim,SH6280,Anheddiad,,Ynys Môn,Isle of Anglesey
Calcoed,,Calcoed,SJ1774,Anheddiad,,Sir y Fflint,Flintshire
Caletwr,,Caletwr,SH9834,Ardal,,Gwynedd,Gwynedd
Camlan,,Camlan,SH8512,Ardal,,Gwynedd,Gwynedd
Camnant,,Camnant,SO0956,Nodwedd tir,,Powys,Powys
Camp Hill,,Camp Hill,SN1113,Anheddiad,,Sir Benfro,Pembrokeshire
Camros,,Camros,SM9220,Anheddiad,,Sir Benfro,Pembrokeshire
Cantref,,Cantref,SO2914,Ardal,,Sir Fynwy,Monmouthshire
Capel,,Capel,SN5200,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Capel Bangor,,Capel Bangor,SN6580,Anheddiad,,Ceredigion,Ceredigion
Capel Betws Leucu,,Capel Betws Leucu,SN6058,Anheddiad,,Ceredigion,Ceredigion
Capel Coch,,Capel Coch,SH4582,Anheddiad,,Ynys Môn,Isle of Anglesey
Capel Curig,,Capel Curig,SH7257,Anheddiad,,Conwy,Conwy
Capel Cynon,,Capel Cynon,SN3849,Anheddiad,,Ceredigion,Ceredigion
Capel Dewi,,Capel Dewi,SN4542,Anheddiad,,Ceredigion,Ceredigion
Capel Dewi,,Capel Dewi,SN4720,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Capel Dewi,,Capel Dewi,SN6282,Anheddiad,,Ceredigion,Ceredigion
Capel Garmon,,Capel Garmon,SH8155,Anheddiad,,Conwy,Conwy
Capel Gwyn,,Capel Gwyn,SH3475,Anheddiad,,Ynys Môn,Isle of Anglesey
Capel Gwynfe,,Capel Gwynfe,SN7222,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Capel Hendre,,Capel Hendre,SN5911,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Capel Isaac,,Capel Isaac,SN5826,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Capel Isaf,,Lower Chapel,SO0235,Anheddiad,,Powys,Powys
Capel Iwan,,Capel Iwan,SN2936,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Capel Llanilltern,,Capel Llanilltern,ST0979,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Capel Madog,,Capel Madog,SN6582,Ardal,,Ceredigion,Ceredigion
Capel Mawr,,Capel Mawr,SH4171,Anheddiad,,Ynys Môn,Isle of Anglesey
Capel Newydd,,Newchapel,SN2239,Anheddiad,,Sir Benfro,Pembrokeshire
Capel Parc,,Capel Parc,SH4486,Anheddiad,,Ynys Môn,Isle of Anglesey
Capel Seion,,Capel Seion,SN5113,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Capel Seion,,Capel Seion,SN6379,Anheddiad,,Ceredigion,Ceredigion
Capel Spon,,Spon Green,SJ2863,Anheddiad,,Sir y Fflint,Flintshire
Capel Tygwydd,,Capel Tygwydd,SN2743,Anheddiad,,Ceredigion,Ceredigion
Capel Uchaf,,Capel Uchaf,SH4349,Anheddiad,,Gwynedd,Gwynedd
Capel Uchaf,,Upper Chapel,SO0040,Anheddiad,,Powys,Powys
Capel Ulo,,Capel Ulo,SH7476,Anheddiad,,Conwy,Conwy
Capel-y-ffin,,Capel-y-ffin,SO2531,Anheddiad,,Powys,Powys
Carcwm,,Carcwm,SN8850,Nodwedd tir,,Powys,Powys
Carew Cheriton,,Carew Cheriton,SN0402,Anheddiad,,Sir Benfro,Pembrokeshire
Carew Newton,,Carew Newton,SN0404,Anheddiad,,Sir Benfro,Pembrokeshire
Carmel,,Carmel,SH3882,Anheddiad,,Ynys Môn,Isle of Anglesey
Carmel,,Carmel,SH4955,Anheddiad,,Gwynedd,Gwynedd
Carmel,,Carmel,SJ1676,Anheddiad,,Sir y Fflint,Flintshire
Carmel,,Carmel,SN5816,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Carmel,,Carmel,SO0566,Anheddiad,,Powys,Powys
Carn Owen,,Carn Owen,SN7388,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Carn Penrhiwllwydog,,Carn Penrhiwllwydog,SN7352,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Carn Ricet,,Carn Ricet,SN8770,Nodwedd o waith dyn,,Powys,Powys
Carn y Castell,,Carn y Castell,SO1629,Nodwedd o waith dyn,,Powys,Powys
Carn y Geifr,,Carn y Geifr,SN9760,Nodwedd o waith dyn,,Powys,Powys
Carnau Cefn-y-ffordd,,Carnau Cefn-y-ffordd,SN9560,Nodwedd o waith dyn,,Powys,Powys
Carnedd,,Carnedd,SO0291,Anheddiad,,Powys,Powys
Carnedd Wen,,Carnedd Wen,SH9209,Nodwedd tir,,Powys,Powys
Carnetown,,Carnetown,ST0794,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Carn-glas,,Carn-glas,SS6193,Anheddiad,,Abertawe,Swansea
Carnhedryn,,Carnhedryn,SM8027,Anheddiad,,Sir Benfro,Pembrokeshire
Carno,,Carno,SN9696,Anheddiad,,Powys,Powys
Carreg Cennen,,Carreg Cennen,SN6619,Nodwedd o waith dyn,,Sir Gaerfyrddin,Carmarthenshire
Carreg Wen,,Carreg Wen,SN8288,Nodwedd o waith dyn,,Powys,Powys
Carreg-lefn,,Carreg-lefn,SH3889,Anheddiad,,Ynys Môn,Isle of Anglesey
Carreg-wen,,Carreg-wen,SN2241,Anheddiad,,Sir Benfro,Pembrokeshire
Carreg-y-gath,,Carreg-y-gath,SH5865,Anheddiad,,Gwynedd,Gwynedd
Carrog,,Carrog,SJ1143,Anheddiad,,Sir Ddinbych,Denbighshire
Carrow Hill,,Carrow Hill,ST4390,Anheddiad,,Sir Fynwy,Monmouthshire
Carwe,,Carwe,SN4606,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cas-bach,,Castleton,ST2583,Anheddiad,,Casnewydd,Newport
Cas-fuwch,,Castlebythe,SN0229,Anheddiad,,Sir Benfro,Pembrokeshire
Casgob,,Casgob,SO2366,Anheddiad,,Powys,Powys
Cas-gwent,,Chepstow,ST5393,Anheddiad,,Sir Fynwy,Monmouthshire
Cas-lai,,Hayscastle,SM8925,Anheddiad,,Sir Benfro,Pembrokeshire
Casllwchwr,,Loughor,SS5798,Anheddiad,,Abertawe,Swansea
Cas-mael,,Puncheston,SN0029,Anheddiad,,Sir Benfro,Pembrokeshire
Casmorys,,Castle Morris,SM9031,Anheddiad,,Sir Benfro,Pembrokeshire
Casnewydd,,Newport,ST3188,Anheddiad,,Casnewydd,Newport
Casnewydd-bach,,Little Newcastle,SM9728,Anheddiad,,Sir Benfro,Pembrokeshire
Castell Caereinion,,Castle Caereinion,SJ1605,Anheddiad,,Powys,Powys
Castellau,,Castellau,ST0586,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Castelldwyran,,Castelldwyran,SN1418,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Castellmartin,,Castlemartin,SR9198,Anheddiad,,Sir Benfro,Pembrokeshire
Castell-nedd,,Neath,SS7597,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Castellnewydd,,Newcastle,SS9079,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Castellnewydd,,Newcastle,SO4417,Anheddiad,,Sir Fynwy,Monmouthshire
Castellnewydd Emlyn,,Newcastle Emlyn,SN3040,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Castell-paen,,Painscastle,SO1646,Anheddiad,,Powys,Powys
Castell-y-bwch,,Castell-y-bwch,ST2792,Anheddiad,,Torfaen,Torfaen
Castellyrhingyll,,Castellyrhingyll,SN5714,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Castle-upon-Alun,,Castle-upon-Alun,SS9174,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Caswell,,Caswell,SS5987,Anheddiad,,Abertawe,Swansea
Cas-wis,,Wiston,SN0218,Anheddiad,,Sir Benfro,Pembrokeshire
Catffrwd,,Catbrook,SO5002,Anheddiad,,Sir Fynwy,Monmouthshire
Catch,,Catch,SJ2070,Anheddiad,,Sir y Fflint,Flintshire
Cathays,,Cathays,ST1877,Anheddiad,,Caerdydd,Cardiff
Cathedin,,Cathedin,SO1425,Anheddiad,,Powys,Powys
Cats Ash,,Cats Ash,ST3790,Anheddiad,,Casnewydd,Newport
Cefn Bryn,,Cefn Bryn,SS4890,Nodwedd tir,,Abertawe,Swansea
Cefn Fforest,,Cefn Fforest,ST1697,Anheddiad,,Caerffili,Caerphilly
Cefn Hengoed,,Cefn Hengoed,ST1495,Anheddiad,,Caerffili,Caerphilly
Cefn Mabli,,Cefn Mably,ST2284,Anheddiad,,Caerffili,Caerphilly
Cefn Mawr,,Cefn Mawr,SN7915,Nodwedd tir,,Powys,Powys
Cefn Rhigos,,Cefn Rhigos,SN9106,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cefnberain,,Cefnberain,SH9969,Anheddiad,,Conwy,Conwy
Cefn-brith,,Cefn-brith,SH9350,Anheddiad,,Conwy,Conwy
Cefn-brith,,Cefn-brith,SH9800,Nodwedd o waith dyn,,Powys,Powys
Cefn-brith,,Cefn-brith,SN9145,Nodwedd o waith dyn,,Powys,Powys
Cefn-bryn-brain,,Cefn-bryn-brain,SN7413,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cefnbychan,,Cefnbychan,SJ2741,Anheddiad,,Wrecsam,Wrexham
Cefncaeau,,Cefncaeau,SS5399,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Cefncanol,,Cefncanol,SJ2331,Anheddiad,,Powys,Powys
Cefn-coch,,Cefn-coch,SJ0402,Anheddiad,,Powys,Powys
Cefncoedycymer,Cefn-coed,Cefncoedycymer,SO0308,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Cefn-crib,,Cefn-crib,ST2399,Anheddiad,,Torfaen,Torfaen
Cefncribwr,,Cefncribwr,SS8582,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cefnddwygraig,,Cefnddwygraig,SH9233,Ardal,,Gwynedd,Gwynedd
Cefnddwysarn,,Cefnddwysarn,SH9638,Anheddiad,,Gwynedd,Gwynedd
Cefneithin,,Cefneithin,SN5513,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cefn Eurgain,,Cefn Eurgain,SJ2267,Ardal,,Sir y Fflint,Flintshire
Cefn-glas,,Cefn-glas,SS8980,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cefngolau,,Cefngolau,SO1308,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Cefngorwydd,,Cefngorwydd,SN9045,Anheddiad,,Powys,Powys
Cefnhengoed,,Cefnhengoed,SS6895,Anheddiad,,Abertawe,Swansea
Cefn-llwyd,,Cefn-llwyd,SN6482,Anheddiad,,Ceredigion,Ceredigion
Cefnllyfnog,,Cefnllyfnog,SJ1918,Anheddiad,,Powys,Powys
Cefn-mawr,,Cefn-mawr,SJ2842,Anheddiad,,Wrecsam,Wrexham
Cefnpennar,,Cefnpennar,SO0300,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cefnpentre,,Cefnpentre,SJ1611,Anheddiad,,Powys,Powys
Cefn-y-bedd,,Cefn-y-bedd,SJ3156,Anheddiad,,Sir y Fflint,Flintshire
Cefn-y-coed,,Cefn-y-coed,SO1993,Ardal,,Powys,Powys
Cefn-y-garth,,Cefn-y-garth,SN6900,Anheddiad,,Abertawe,Swansea
Cefn-y-pant,,Cefn-y-pant,SN1925,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cefn-y-pant,,Pantside,ST2197,Anheddiad,,Caerffili,Caerphilly
Cegidfa,,Guilsfield,SJ2212,Anheddiad,,Powys,Powys
Cei Connah,,Connah's Quay,SJ2969,Anheddiad,,Sir y Fflint,Flintshire
